date,filename,original_image,result_image,persons,cars,buses,trucks,motorcycles,bicycles,traffic_lights,stop_signs,total_vehicles,total_people,total_objects,avg_confidence,min_confidence,max_confidence,vehicle_density,most_detected_object,processing_time,traffic_level,risk_level
2026-06-28 19:15:27,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.72,0.48,0.93,57.14,Cars,0.24,Low,Low
2026-06-28 19:37:39,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.72,0.48,0.93,57.14,Cars,0.23,Low,Low
2026-06-28 19:37:55,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.72,0.48,0.93,57.14,Cars,0.21,Low,Low
2026-06-28 19:38:20,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,2,0,4,0,6,0.76,0.58,0.93,66.67,Cars,0.13,Low,Low
2026-06-28 19:43:26,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,2,0,4,0,6,0.76,0.58,0.93,66.67,Cars,0.22,Low,Low
2026-06-28 19:47:39,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,2,0,4,0,6,0.76,0.58,0.93,66.67,Cars,0.25,Low,Low
2026-06-28 19:52:09,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.72,0.48,0.93,57.14,Cars,0.54,Low,Low
2026-06-30 14:01:17,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.7209,0.4827,0.9317,57.14,Cars,1.01,Low,Low
2026-06-30 14:02:06,rain-2615166_1280.jpg,static/uploads/rain-2615166_1280.jpg,static/results/detected_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.7209,0.4827,0.9317,57.14,Cars,0.71,Low,Low
2026-06-30 14:51:19,be6f318193_rain-2615166_1280.jpg,static/uploads/be6f318193_rain-2615166_1280.jpg,static/results/detected_be6f318193_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.7209,0.4827,0.9317,57.14,Cars,1.06,Low,Low
2026-06-30 15:23:36,14837468ad_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,static/uploads/14837468ad_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,static/results/detected_14837468ad_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,2,3,0,0,0,0,0,0,3,2,5,0.4972,0.3636,0.742,60.0,Cars,0.44,Low,Low
2026-06-30 15:37:51,f2ca22e13d_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,static/uploads/f2ca22e13d_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,static/results/detected_f2ca22e13d_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,2,7,0,0,0,0,0,0,7,2,9,0.6859,0.4296,0.8828,77.78,Cars,0.47,Medium,Medium
